STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00027502,"BARROW AIRPORT, AK US",1902,11.1,16.5,5.7
USW00027502,"BARROW AIRPORT, AK US",1903,8.9,15.4,2.3
USW00027502,"BARROW AIRPORT, AK US",1921,10.2,16.7,3.8
USW00027502,"BARROW AIRPORT, AK US",1922,8.6,14.6,2.6
USW00027502,"BARROW AIRPORT, AK US",1923,,,2.5
USW00027502,"BARROW AIRPORT, AK US",1924,,,-1.4
USW00027502,"BARROW AIRPORT, AK US",1925,8,14.8,1.2
USW00027502,"BARROW AIRPORT, AK US",1926,12.1,18.7,5.4
USW00027502,"BARROW AIRPORT, AK US",1927,9,16.6,1.4
USW00027502,"BARROW AIRPORT, AK US",1928,12.5,20.1,4.9
USW00027502,"BARROW AIRPORT, AK US",1930,11,17,5.1
USW00027502,"BARROW AIRPORT, AK US",1931,8.5,14.9,2.2
USW00027502,"BARROW AIRPORT, AK US",1932,10.1,15.7,4.6
USW00027502,"BARROW AIRPORT, AK US",1933,7.2,12.6,1.8
USW00027502,"BARROW AIRPORT, AK US",1934,9.7,14.2,5.2
USW00027502,"BARROW AIRPORT, AK US",1935,10.2,16,4.4
USW00027502,"BARROW AIRPORT, AK US",1936,8.5,15.4,1.5
USW00027502,"BARROW AIRPORT, AK US",1937,12.9,18.6,7.2
USW00027502,"BARROW AIRPORT, AK US",1938,11.1,16.4,5.8
USW00027502,"BARROW AIRPORT, AK US",1939,10.7,15.4,6
USW00027502,"BARROW AIRPORT, AK US",1940,13.9,18.5,9.3
USW00027502,"BARROW AIRPORT, AK US",1941,,,4.5
USW00027502,"BARROW AIRPORT, AK US",1942,11.5,17,6
USW00027502,"BARROW AIRPORT, AK US",1943,11.3,17,5.5
USW00027502,"BARROW AIRPORT, AK US",1944,10.7,16.2,5.3
USW00027502,"BARROW AIRPORT, AK US",1945,7.6,13.1,2
USW00027502,"BARROW AIRPORT, AK US",1946,9.1,14.6,3.6
USW00027502,"BARROW AIRPORT, AK US",1947,9.8,15.2,4.4
USW00027502,"BARROW AIRPORT, AK US",1948,7.4,14.1,0.7
USW00027502,"BARROW AIRPORT, AK US",1949,11.1,16.9,5.3
USW00027502,"BARROW AIRPORT, AK US",1950,12.9,18.6,7.2
USW00027502,"BARROW AIRPORT, AK US",1951,11.4,17.1,5.8
USW00027502,"BARROW AIRPORT, AK US",1952,9,14.1,3.9
USW00027502,"BARROW AIRPORT, AK US",1953,8.1,13.5,2.6
USW00027502,"BARROW AIRPORT, AK US",1954,10.8,17.2,4.5
USW00027502,"BARROW AIRPORT, AK US",1955,5.3,10.7,-0.1
USW00027502,"BARROW AIRPORT, AK US",1956,7,12.6,1.4
USW00027502,"BARROW AIRPORT, AK US",1957,9.9,15.2,4.5
USW00027502,"BARROW AIRPORT, AK US",1958,11.3,16,6.6
USW00027502,"BARROW AIRPORT, AK US",1959,7.5,13.1,1.8
USW00027502,"BARROW AIRPORT, AK US",1960,8.1,13.4,2.8
USW00027502,"BARROW AIRPORT, AK US",1961,8.2,13.5,2.9
USW00027502,"BARROW AIRPORT, AK US",1962,12.6,18.7,6.7
USW00027502,"BARROW AIRPORT, AK US",1963,10.3,15.9,4.8
USW00027502,"BARROW AIRPORT, AK US",1964,4.6,9.9,-0.7
USW00027502,"BARROW AIRPORT, AK US",1965,9.1,14.8,3.4
USW00027502,"BARROW AIRPORT, AK US",1966,8.4,13.6,3.3
USW00027502,"BARROW AIRPORT, AK US",1967,10.5,15.9,5.1
USW00027502,"BARROW AIRPORT, AK US",1968,10,15.5,4.5
USW00027502,"BARROW AIRPORT, AK US",1969,8.9,13.7,4.2
USW00027502,"BARROW AIRPORT, AK US",1970,7.1,12.2,2.1
USW00027502,"BARROW AIRPORT, AK US",1971,7.7,12.8,2.5
USW00027502,"BARROW AIRPORT, AK US",1972,10.4,16.2,4.6
USW00027502,"BARROW AIRPORT, AK US",1973,11.4,16.8,6.1
USW00027502,"BARROW AIRPORT, AK US",1974,5.6,10.8,0.4
USW00027502,"BARROW AIRPORT, AK US",1975,5.8,10.7,0.8
USW00027502,"BARROW AIRPORT, AK US",1976,8.3,13.3,3.3
USW00027502,"BARROW AIRPORT, AK US",1977,10.6,15.2,5.9
USW00027502,"BARROW AIRPORT, AK US",1978,10.7,16.1,5.3
USW00027502,"BARROW AIRPORT, AK US",1979,12.8,18.1,7.6
USW00027502,"BARROW AIRPORT, AK US",1980,8.6,13.5,3.7
USW00027502,"BARROW AIRPORT, AK US",1981,11.3,16.3,6.4
USW00027502,"BARROW AIRPORT, AK US",1982,9.3,14.3,4.2
USW00027502,"BARROW AIRPORT, AK US",1983,9.3,14,4.5
USW00027502,"BARROW AIRPORT, AK US",1984,7.3,12.5,2.2
USW00027502,"BARROW AIRPORT, AK US",1985,10.6,15.8,5.4
USW00027502,"BARROW AIRPORT, AK US",1986,11.2,16.8,5.5
USW00027502,"BARROW AIRPORT, AK US",1987,9.9,15.2,4.7
USW00027502,"BARROW AIRPORT, AK US",1988,8.3,14.3,2.2
USW00027502,"BARROW AIRPORT, AK US",1989,13.4,19.7,7
USW00027502,"BARROW AIRPORT, AK US",1990,9.9,16.1,3.8
USW00027502,"BARROW AIRPORT, AK US",1991,9.7,15.7,3.7
USW00027502,"BARROW AIRPORT, AK US",1992,9.6,15.6,3.6
USW00027502,"BARROW AIRPORT, AK US",1993,13.7,19.4,8
USW00027502,"BARROW AIRPORT, AK US",1994,9.2,15.2,3.3
USW00027502,"BARROW AIRPORT, AK US",1995,12.4,18.2,6.7
USW00027502,"BARROW AIRPORT, AK US",1996,12.6,19,6.2
USW00027502,"BARROW AIRPORT, AK US",1997,12.5,17.7,7.2
USW00027502,"BARROW AIRPORT, AK US",1998,16.9,22.2,11.7
USW00027502,"BARROW AIRPORT, AK US",1999,10.4,15.6,5.2
USW00027502,"BARROW AIRPORT, AK US",2000,10.8,16.1,5.5
USW00027502,"BARROW AIRPORT, AK US",2001,10.5,15.9,5.1
USW00027502,"BARROW AIRPORT, AK US",2002,13.6,19.1,8.1
USW00027502,"BARROW AIRPORT, AK US",2003,12.9,18,7.8
USW00027502,"BARROW AIRPORT, AK US",2004,12.6,17.9,7.4
USW00027502,"BARROW AIRPORT, AK US",2005,13.5,18.4,8.5
USW00027502,"BARROW AIRPORT, AK US",2006,13.3,18.8,7.9
USW00027502,"BARROW AIRPORT, AK US",2007,15.3,20.5,10
USW00027502,"BARROW AIRPORT, AK US",2008,13.3,18.7,7.9
USW00027502,"BARROW AIRPORT, AK US",2009,13.4,19,7.8
USW00027502,"BARROW AIRPORT, AK US",2010,14.3,19.6,9.1
USW00027502,"BARROW AIRPORT, AK US",2011,14,19.8,8.2
USW00027502,"BARROW AIRPORT, AK US",2012,13.1,18.4,7.7
USW00027502,"BARROW AIRPORT, AK US",2013,14.5,19.7,9.3
USW00027502,"BARROW AIRPORT, AK US",2014,15,20,10
USW00027502,"BARROW AIRPORT, AK US",2015,14.2,19.3,9.2
USW00027502,"BARROW AIRPORT, AK US",2016,19,24,13.9
USW00027502,"BARROW AIRPORT, AK US",2017,18.5,24,13
USW00027502,"BARROW AIRPORT, AK US",2018,17,22.5,11.6
USW00027502,"BARROW AIRPORT, AK US",2019,20.9,26.4,15.5
USW00027502,"BARROW AIRPORT, AK US",2020,,,